id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1467955365845221376,1467955365845221376,2021-12-06 15:33:27 EST,2021-12-06,15:33:27,-0500,963992961523560448,hatcrawler,Hat Crawler,,59FIFTY GOLDEN STATE WARRIORS OTC - BLACK now available from HATCLUB  #newdrop #hatclub #nba #goldenstatewarriors #warriors #dubnation #gsw #oakland #california #59fifty #goldenstate #otc #black #hatcrawler #neweracap #fitted #hats #hat   https://t.co/LC0mrATJAQ,en,[],['https://hats.hatcrawler.com/ee66a613.html'],[],0,0,0,"['newdrop', 'hatclub', 'nba', 'goldenstatewarriors', 'warriors', 'dubnation', 'gsw', 'oakland', 'california', '59fifty', 'goldenstate', 'otc', 'black', 'hatcrawler', 'neweracap', 'fitted', 'hats', 'hat']",[],https://twitter.com/hatcrawler/status/1467955365845221376,False,,0,,,,,,,,[],,,,
1467955360061292545,1467955360061292545,2021-12-06 15:33:25 EST,2021-12-06,15:33:25,-0500,963992961523560448,hatcrawler,Hat Crawler,,59FIFTY GOLDEN STATE WARRIORS OTC - ROYAL now available from HATCLUB  #newdrop #hatclub #nba #goldenstatewarriors #warriors #dubnation #gsw #oakland #california #59fifty #goldenstate #otc #royal #hatcrawler #neweracap #fitted   https://t.co/3jV1a1ikzH,en,[],['https://hats.hatcrawler.com/c8eba275.html'],[],0,0,0,"['newdrop', 'hatclub', 'nba', 'goldenstatewarriors', 'warriors', 'dubnation', 'gsw', 'oakland', 'california', '59fifty', 'goldenstate', 'otc', 'royal', 'hatcrawler', 'neweracap', 'fitted']",[],https://twitter.com/hatcrawler/status/1467955360061292545,False,,0,,,,,,,,[],,,,
1467954707838627845,1467954707838627845,2021-12-06 15:30:50 EST,2021-12-06,15:30:50,-0500,1466911129452498944,dailynbaspread,DailyNBASpread,,#Magic @ #Warriors #GSW (-16) @ 10:10 PM ET O/U: (217.5) #DailyNBASpread,pt,[],[],[],0,0,0,"['magic', 'warriors', 'gsw', 'dailynbaspread']",[],https://twitter.com/DailyNBASpread/status/1467954707838627845,False,,0,,,,,,,,[],,,,
1467907430268895234,1467907430268895234,2021-12-06 12:22:58 EST,2021-12-06,12:22:58,-0500,809340179001450496,ulybeebs,Ulyvie + Beebs: Food + Travel,,👀👀👀 #DubNation #Warriors #GSW  https://t.co/qKIXS4vyig,und,[],['https://www.ebay.com/itm/224728092413?mkevt=1&mkcid=16&mkrid=711-127632-2357-0'],[],0,0,0,"['dubnation', 'warriors', 'gsw']",[],https://twitter.com/ulybeebs/status/1467907430268895234,False,,0,,,,,,,,[],,,,
1467904279553916942,1467903939483942913,2021-12-06 12:10:27 EST,2021-12-06,12:10:27,-0500,1374747516386820104,itson2sweetz,#IT$ON👑♈💎🔥💙$₩££TZ,,#DubNation #LETZGETIT #TEAM #BallOut #SPLASH #DUBBIT #GSW 🏀🏆🏀  https://t.co/qQ6H0uDdmk,und,[],[],"['https://pbs.twimg.com/media/FF8LIq_XsAMjCp_.jpg', 'https://pbs.twimg.com/media/FF8LJEgXEAI7NJD.jpg', 'https://pbs.twimg.com/media/FF8LJnPXIAE-uU1.jpg', 'https://pbs.twimg.com/media/FF8LKUtWYAUFFCI.jpg']",0,0,0,"['dubnation', 'letzgetit', 'team', 'ballout', 'splash', 'dubbit', 'gsw']",[],https://twitter.com/itson2sweetz/status/1467904279553916942,False,,1,https://pbs.twimg.com/media/FF8LIq_XsAMjCp_.jpg,,,,,,,[],,,,
1467903939483942913,1467903939483942913,2021-12-06 12:09:06 EST,2021-12-06,12:09:06,-0500,1374747516386820104,itson2sweetz,#IT$ON👑♈💎🔥💙$₩££TZ,,#ITSON♈💎🔥👑 #DUBNATION #LETZGETIT #TEAM  #BallOut #SPLASH #DUBBIT #GSW 🏀🏆🏀 #MotivationMonday  https://t.co/I4swzX89V3,und,[],[],['https://pbs.twimg.com/media/FF8K2o3WUAY4w3x.jpg'],1,0,0,"['itson', 'dubnation', 'letzgetit', 'team', 'ballout', 'splash', 'dubbit', 'gsw', 'motivationmonday']",[],https://twitter.com/itson2sweetz/status/1467903939483942913,False,,1,https://pbs.twimg.com/media/FF8K2o3WUAY4w3x.jpg,,,,,,,[],,,,
1467867969665441794,1467867969665441794,2021-12-06 09:46:10 EST,2021-12-06,09:46:10,-0500,198438089,vampireskiat,Nicholas Lim,,"GSW will need a slasher! Tough lost but if with a strong slasher, they might win it! #gsw",en,[],[],[],0,0,0,['gsw'],[],https://twitter.com/vampireskiat/status/1467867969665441794,False,,0,,,,,,,,[],,,,
1467842982586068992,1467842982586068992,2021-12-06 08:06:52 EST,2021-12-06,08:06:52,-0500,1400818478395936772,sportstypist,SportsTypist,,Do the Warriors have a chance to win a title this year with Klay Thompson back in the lineup? 🧐 #NBA #GSW  https://t.co/4Lc1mEc6WV,en,[],[],['https://pbs.twimg.com/media/FF7TRlEXMAEMaMw.png'],0,0,0,"['nba', 'gsw']",[],https://twitter.com/SportsTypist/status/1467842982586068992,False,,1,https://pbs.twimg.com/media/FF7TRlEXMAEMaMw.png,,,,,,,[],,,,
1467831356407394304,1467831356407394304,2021-12-06 07:20:41 EST,2021-12-06,07:20:41,-0500,710043770524401664,dydsportscom,DYD SPORTS,,Steph doing Steph things. 👀🔥 #GSW #NBATwitter  https://t.co/PQd8HFcYPf,en,[],[],[],0,0,3,"['gsw', 'nbatwitter']",[],https://twitter.com/dydsportscom/status/1467831356407394304,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1467831307514355712/pu/img/eoqu6DWOWM3YTIeC.jpg,,,,,,,[],,,,
1467807041943187464,1467807041943187464,2021-12-06 05:44:03 EST,2021-12-06,05:44:03,-0500,1243166217700921344,jimmyevans4real,@JimmyEvans,,@gsw_pro #GSW,und,[],[],[],0,0,0,['gsw'],[],https://twitter.com/jimmyevans4real/status/1467807041943187464,False,,0,,,,,,,,[],,,,
